Country,Value
Numero de onibus fabricados em 2009,14
Numero de onibus fabricados em 2010,180
Numero de onibus fabricados em 2011,349
Numero de onibus fabricados em 2012,344
Numero de onibus fabricados em 2013,304
Numero de onibus fabricados em 2014,477
Numero de onibus fabricados em 2015,630
Numero de onibus fabricados em 2016,306
Numero de onibus fabricados em 2017,190
Numero de onibus fabricados em 2018,282
Numero de onibus fabricados em 2019,344
Numero de onibus fabricados em 2020,92
Numero de onibus fabricados em 2021,119
Numero de onibus fabricados em 2022,288
Numero de onibus fabricados em 2023,611
